song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,year
Life Is Good,Future Featuring Drake,9/12/2020,39,35.0,2,34,2020
Go Crazy,Chris Brown & Young Thug,1/16/2021,5,6.0,5,35,2021
I Hope,Gabby Barrett Featuring Charlie Puth,9/5/2020,11,10.0,10,35,2020
Happier,Marshmello & Bastille,4/27/2019,12,10.0,2,35,2019
Mood,24kGoldn Featuring iann dior,4/17/2021,13,9.0,1,35,2021
Don't Start Now,Dua Lipa,7/11/2020,15,14.0,2,35,2020
Memories,Maroon 5,5/30/2020,31,24.0,2,35,2020
Life Is Good,Future Featuring Drake,9/19/2020,33,39.0,2,35,2020
Go Crazy,Chris Brown & Young Thug,1/23/2021,5,5.0,5,36,2021
Happier,Marshmello & Bastille,5/4/2019,12,12.0,2,36,2019
I Hope,Gabby Barrett Featuring Charlie Puth,9/12/2020,12,11.0,10,36,2020
Don't Start Now,Dua Lipa,7/18/2020,15,15.0,2,36,2020
Mood,24kGoldn Featuring iann dior,4/24/2021,18,13.0,1,36,2021
Life Is Good,Future Featuring Drake,9/26/2020,33,33.0,2,36,2020
Memories,Maroon 5,6/6/2020,36,31.0,2,36,2020
Go Crazy,Chris Brown & Young Thug,1/30/2021,7,5.0,5,37,2021
I Hope,Gabby Barrett Featuring Charlie Puth,9/19/2020,12,12.0,10,37,2020
Happier,Marshmello & Bastille,5/11/2019,14,12.0,2,37,2019
Mood,24kGoldn Featuring iann dior,5/1/2021,19,18.0,1,37,2021
Don't Start Now,Dua Lipa,7/25/2020,27,15.0,2,37,2020
Memories,Maroon 5,6/13/2020,32,36.0,2,37,2020
Life Is Good,Future Featuring Drake,10/3/2020,36,33.0,2,37,2020
Go Crazy,Chris Brown & Young Thug,2/6/2021,6,7.0,5,38,2021
I Hope,Gabby Barrett Featuring Charlie Puth,9/26/2020,11,12.0,10,38,2020
Happier,Marshmello & Bastille,5/18/2019,16,14.0,2,38,2019
Mood,24kGoldn Featuring iann dior,5/8/2021,20,19.0,1,38,2021
Don't Start Now,Dua Lipa,8/1/2020,27,27.0,2,38,2020
Memories,Maroon 5,6/20/2020,32,32.0,2,38,2020
Life Is Good,Future Featuring Drake,10/10/2020,41,36.0,2,38,2020
Go Crazy,Chris Brown & Young Thug,2/13/2021,6,6.0,5,39,2021
I Hope,Gabby Barrett Featuring Charlie Puth,10/3/2020,10,11.0,10,39,2020
Happier,Marshmello & Bastille,5/25/2019,17,16.0,2,39,2019
Mood,24kGoldn Featuring iann dior,5/15/2021,24,20.0,1,39,2021
Don't Start Now,Dua Lipa,8/8/2020,24,27.0,2,39,2020
Memories,Maroon 5,6/27/2020,39,32.0,2,39,2020
Lemon Pepper Freestyle,Drake Featuring Rick Ross,4/10/2021,70,56.0,3,4,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2/1/2020,73,64.0,64,4,2020
Drivers License,Olivia Rodrigo,2/20/2021,1,1.0,1,5,2021
Dynamite,BTS,10/3/2020,1,2.0,1,5,2020
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),4/17/2021,1,3.0,1,5,2021
Life Is Good,Future Featuring Drake,2/22/2020,2,2.0,2,5,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,9/26/2020,3,3.0,2,5,2020
Lose You To Love Me,Selena Gomez,11/30/2019,5,8.0,1,5,2019
I Don't Care,Ed Sheeran & Justin Bieber,6/22/2019,5,4.0,2,5,2019
Kiss Me More,Doja Cat Featuring SZA,5/22/2021,5,5.0,5,5,2021
Mood,24kGoldn Featuring iann dior,9/19/2020,6,8.0,6,5,2020
Montero (Call Me By Your Name),Lil Nas X,5/8/2021,7,4.0,1,5,2021
ME!,Taylor Swift Featuring Brendon Urie,6/1/2019,9,8.0,2,5,2019
Goodbyes,Post Malone Featuring Young Thug,8/17/2019,9,8.0,3,5,2019
Holy,Justin Bieber Featuring Chance The Rapper,10/31/2020,9,14.0,3,5,2020
Intentions,Justin Bieber Featuring Quavo,3/21/2020,10,10.0,9,5,2020
Middle Child,J. Cole,3/2/2019,11,11.0,4,5,2019
Memories,Maroon 5,11/2/2019,11,12.0,11,5,2019
HIGHEST IN THE ROOM,Travis Scott,11/16/2019,14,14.0,1,5,2019
If I Can't Have You,Shawn Mendes,6/15/2019,14,15.0,2,5,2019
Levitating,Dua Lipa Featuring DaBaby,11/14/2020,29,42.0,29,5,2020
Godzilla,Eminem Featuring Juice WRLD,2/29/2020,36,28.0,3,5,2020
Go Crazy,Chris Brown & Young Thug,6/20/2020,37,50.0,37,5,2020
Heartless,The Weeknd,1/4/2020,39,26.0,1,5,2020
Don't Start Now,Dua Lipa,12/14/2019,42,37.0,30,5,2019
Gooba,6ix9ine,6/20/2020,43,37.0,3,5,2020
Futsal Shuffle 2020,Lil Uzi Vert,1/25/2020,43,30.0,5,5,2020
Good As Hell,Lizzo,10/5/2019,43,50.0,41,5,2019
ME!,Taylor Swift Featuring Brendon Urie,8/31/2019,58,63.0,2,18,2019
Forever After All,Luke Combs,3/6/2021,68,66.0,2,18,2021
Godzilla,Eminem Featuring Juice WRLD,5/30/2020,90,78.0,3,18,2020
Don't Start Now,Dua Lipa,3/21/2020,2,3.0,2,19,2020
Memories,Maroon 5,2/8/2020,4,5.0,2,19,2020
Mood,24kGoldn Featuring iann dior,12/26/2020,5,2.0,1,19,2020
Dynamite,BTS,1/9/2021,5,44.0,1,19,2021
Life Is Good,Future Featuring Drake,5/30/2020,6,13.0,2,19,2020
Good As Hell,Lizzo,1/11/2020,6,10.0,3,19,2020
Happier,Marshmello & Bastille,1/5/2019,7,5.0,3,19,2019
Intentions,Justin Bieber Featuring Quavo,6/27/2020,7,5.0,5,19,2020
Holy,Justin Bieber Featuring Chance The Rapper,2/6/2021,8,8.0,3,19,2021
Levitating,Dua Lipa Featuring DaBaby,2/20/2021,8,5.0,5,19,2021
I Don't Care,Ed Sheeran & Justin Bieber,9/28/2019,11,13.0,2,19,2019
ME!,Taylor Swift Featuring Brendon Urie,9/7/2019,11,58.0,2,19,2019
Heartless,The Weeknd,4/11/2020,12,4.0,1,19,2020
Go Crazy,Chris Brown & Young Thug,9/26/2020,13,14.0,9,19,2020
Middle Child,J. Cole,6/8/2019,18,17.0,4,19,2019
Lose You To Love Me,Selena Gomez,3/7/2020,21,21.0,1,19,2020
I Hope,Gabby Barrett Featuring Charlie Puth,5/16/2020,21,19.0,16,19,2020
Drivers License,Olivia Rodrigo,5/29/2021,24,16.0,1,19,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,1/2/2021,25,17.0,2,19,2021
If I Can't Have You,Shawn Mendes,9/21/2019,27,16.0,2,19,2019
HIGHEST IN THE ROOM,Travis Scott,2/22/2020,30,26.0,1,19,2020
Goodbyes,Post Malone Featuring Young Thug,11/23/2019,30,21.0,3,19,2019
Forever After All,Luke Combs,3/13/2021,65,68.0,2,19,2021
Godzilla,Eminem Featuring Juice WRLD,6/6/2020,88,90.0,3,19,2020
Don't Start Now,Dua Lipa,3/28/2020,3,2.0,2,20,2020
Memories,Maroon 5,2/15/2020,4,4.0,2,20,2020
Intentions,Justin Bieber Featuring Quavo,7/4/2020,5,7.0,5,20,2020
Happier,Marshmello & Bastille,1/12/2019,6,7.0,3,20,2019
Mood,24kGoldn Featuring iann dior,1/2/2021,7,5.0,1,20,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,1/9/2021,7,25.0,2,20,2021
Popstar,DJ Khaled Featuring Drake,10/31/2020,46,40.0,3,14,2020
Rain On Me,Lady Gaga & Ariana Grande,9/5/2020,55,44.0,1,14,2020
Stuck With U,Ariana Grande & Justin Bieber,8/22/2020,79,79.0,1,14,2020
Cardigan,Taylor Swift,11/7/2020,96,88.0,1,14,2020
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,6/22/2019,1,1.0,1,15,2019
Rockstar,DaBaby Featuring Roddy Ricch,8/8/2020,2,1.0,1,15,2020
Senorita,Shawn Mendes & Camila Cabello,10/12/2019,2,2.0,1,15,2019
